ensembl_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000020038,1.440439482,2.77732394,4.116741876,0.000770951,0.04835763,-0.903407703
ENSMUSG00000063063,-1.202578567,0.753038265,-2.696513639,0.015637715,0.265904983,-3.752527771
ENSMUSG00000069372,-3.046207321,0.9950183,-6.834744641,3.52E-06,0.001913263,4.54935413
ENSMUSG00000040327,-1.300351563,5.340180907,-8.098725672,3.98E-07,0.000435691,6.604682535
ENSMUSG00000034855,2.018732658,1.82657319,2.926143923,0.009697294,0.222651922,-3.371392884
ENSMUSG00000028621,1.060754568,6.019297631,4.706326236,0.000223207,0.021351283,0.134011279
ENSMUSG00000063694,-1.533240684,6.897963259,-4.325580686,0.000495512,0.036043322,-0.735426814
ENSMUSG00000003555,1.207502134,0.09105821,4.150516177,0.000717634,0.045945547,-0.81491161
ENSMUSG00000038567,-2.871491807,5.305448519,-2.736898639,0.014385428,0.265904983,-3.8907263
ENSMUSG00000063415,1.823524157,5.82194891,3.157808797,0.005949975,0.165690411,-3.123132433
ENSMUSG00000074254,-1.498542573,6.523690316,-4.387459103,0.000434928,0.033198707,-0.603105666
ENSMUSG00000030483,-1.119962727,0.834415808,-2.620353233,0.018289729,0.265904983,-3.931736537
ENSMUSG00000025197,1.317854806,2.604309645,4.68723126,0.000232244,0.021898774,0.275152705
ENSMUSG00000094806,1.245242776,0.666476668,2.402712435,0.028437724,0.331123137,-4.393051702
ENSMUSG00000096852,-1.646958326,3.58746904,-3.90235242,0.001216573,0.063899636,-1.462807833
ENSMUSG00000061740,1.826311447,5.658842538,5.85499595,2.21E-05,0.005497999,2.482269888
ENSMUSG00000066097,-1.581395823,5.77275718,-4.731884162,0.00021167,0.020726433,0.18393616
ENSMUSG00000028571,-3.224774023,7.539730836,-5.067064585,0.000106193,0.013295002,0.819550122
ENSMUSG00000052520,-1.01480595,8.887871306,-4.058025271,0.000873368,0.052143754,-1.404943658
ENSMUSG00000081362,-1.056355959,0.052411964,-3.23404534,0.005061432,0.151460594,-2.733172927
ENSMUSG00000015224,-1.30762114,1.095300638,-5.570590274,3.86E-05,0.007916701,2.148215058
ENSMUSG00000040703,1.34260382,4.232058294,6.757883773,4.05E-06,0.002012964,4.297912711
ENSMUSG00000066072,3.653229848,9.147264917,6.447824571,7.16E-06,0.00291252,3.488262889
ENSMUSG00000066071,-1.947871453,9.65865628,-3.686182456,0.00192984,0.084709426,-2.231930998
ENSMUSG00000078597,1.395556413,7.314825695,3.736374622,0.001733663,0.079652801,-2.010328484
ENSMUSG00000028715,7.657823209,7.564597864,8.380529988,2.52E-07,0.000332376,7.034416234
ENSMUSG00000028712,2.304539384,9.575487059,4.519565825,0.000329556,0.027376572,-0.453308806
ENSMUSG00000028713,-2.010987405,8.157193589,-5.607242537,3.59E-05,0.007470601,1.84297418
ENSMUSG00000001467,-1.920271558,8.239287298,-8.353791633,2.63E-07,0.000334956,6.920880472
ENSMUSG00000039519,-2.624079906,6.478240038,-5.114313332,9.64E-05,0.012472133,0.969035757
ENSMUSG00000085772,-1.043458376,3.081962263,-4.784982146,0.000189612,0.019263835,0.441997982
ENSMUSG00000042672,-1.987688331,2.38101169,-4.986612828,0.000125176,0.014860945,0.941234056
ENSMUSG00000037921,1.122443644,2.298475811,2.723201727,0.014798933,0.265904983,-3.781686996
ENSMUSG00000050645,-1.469601251,1.884627309,-2.705552947,0.015348627,0.265904983,-3.754073993
ENSMUSG00000044249,-1.013724303,6.552299539,-3.439722242,0.003266489,0.115490153,-2.609727446
ENSMUSG00000021263,-1.345308344,5.861296642,-6.307340539,9.31E-06,0.003197975,3.349092815
ENSMUSG00000021697,-1.585867473,1.116935054,-4.890200667,0.000152589,0.016933443,0.763507593
ENSMUSG00000036095,-1.028631762,0.602613544,-4.474969652,0.000361855,0.029265952,-0.069069669
ENSMUSG00000048281,-1.180468462,3.306917585,-5.462693753,4.78E-05,0.008595206,1.793434224
ENSMUSG00000028410,-1.545226344,6.514286899,-5.982188424,1.73E-05,0.004730061,2.674317035
ENSMUSG00000025279,-1.016548273,-0.083031195,-2.910632694,0.010017669,0.227690465,-3.588268408
ENSMUSG00000035954,-1.186748415,2.657380057,-3.834430403,0.001406226,0.069808564,-1.537243106
ENSMUSG00000097327,1.325783803,3.170617884,5.128938313,9.36E-05,0.012278737,1.134377498
ENSMUSG00000048581,-1.044625067,3.080530651,-4.394102976,0.000428887,0.032970233,-0.418129422
ENSMUSG00000021416,-1.042713276,5.919197894,-4.4891854,0.000351223,0.028789671,-0.33838499
ENSMUSG00000034457,2.311189286,1.143813544,8.092064793,4.03E-07,0.000435691,6.719050046
ENSMUSG00000072575,-2.354179864,2.09215139,-5.266311067,7.09E-05,0.010435927,1.437690472
ENSMUSG00000026255,1.250667814,5.458681463,7.341819423,1.43E-06,0.001068181,5.248954041
ENSMUSG00000003934,-1.944024919,0.943761037,-4.295539912,0.000527951,0.037520096,-0.486759162
ENSMUSG00000031490,1.718776911,3.821448226,5.508518618,4.37E-05,0.008573238,1.869285655
ENSMUSG00000024053,-1.03938381,0.550345185,-2.942567939,0.009368934,0.217352127,-3.26754418
ENSMUSG00000051166,-1.133208318,3.575632668,-5.332337156,6.21E-05,0.009560142,1.534799507
ENSMUSG00000004267,1.042033207,1.596078374,3.064539514,0.007247507,0.186511657,-3.032090288
